Tanggal,Komoditas,Harga,Sumber
2021-01-21,beras_medium,10000.0,PIHPS
2021-01-21,beras_premium,12000.0,PIHPS
2021-01-21,cabai_merah_besar,40000.0,PIHPS
2021-01-21,cabai_merah_keriting,57500.0,PIHPS
2021-01-21,cabai_rawit_merah,72500.0,PIHPS
2021-01-21,daging_ayam_ras,39000.0,PIHPS
2021-01-21,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-21,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-21,gula_pasir_curah,13500.0,PIHPS
2021-01-21,gula_pasir_kemasan,15500.0,PIHPS
2021-01-21,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-21,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-21,telur_ayam_ras,25000.0,PIHPS
2021-01-22,bawang_merah,30000.0,PIHPS
2021-01-22,bawang_putih_honan,25000.0,PIHPS
2021-01-22,beras_medium,10000.0,PIHPS
2021-01-22,beras_premium,12000.0,PIHPS
2021-01-22,cabai_merah_besar,40000.0,PIHPS
2021-01-22,cabai_merah_keriting,60000.0,PIHPS
2021-01-22,cabai_rawit_merah,75000.0,PIHPS
2021-01-22,daging_ayam_ras,40000.0,PIHPS
2021-01-22,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-22,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-22,gula_pasir_curah,13500.0,PIHPS
2021-01-22,gula_pasir_kemasan,15500.0,PIHPS
2021-01-22,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-22,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-22,telur_ayam_ras,25000.0,PIHPS
2021-01-25,bawang_merah,30000.0,PIHPS
2021-01-25,bawang_putih_honan,25000.0,PIHPS
2021-01-25,beras_medium,10000.0,PIHPS
2021-01-25,beras_premium,12000.0,PIHPS
2021-01-25,cabai_merah_besar,50000.0,PIHPS
2021-01-25,cabai_merah_keriting,60000.0,PIHPS
2021-01-25,cabai_rawit_merah,75000.0,PIHPS
2021-01-25,daging_ayam_ras,39000.0,PIHPS
2021-01-25,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-25,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-25,gula_pasir_curah,13500.0,PIHPS
2021-01-25,gula_pasir_kemasan,15500.0,PIHPS
2021-01-25,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-25,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-25,telur_ayam_ras,25000.0,PIHPS
2021-01-26,bawang_merah,30000.0,PIHPS
2021-01-26,bawang_putih_honan,25000.0,PIHPS
2021-01-26,beras_medium,10000.0,PIHPS
2021-01-26,beras_premium,12000.0,PIHPS
2021-01-26,cabai_merah_besar,50000.0,PIHPS
2021-01-26,cabai_merah_keriting,60000.0,PIHPS
2021-01-26,cabai_rawit_merah,72500.0,PIHPS
2021-01-26,daging_ayam_ras,39000.0,PIHPS
2021-01-26,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-26,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-26,gula_pasir_curah,13500.0,PIHPS
2021-01-26,gula_pasir_kemasan,15500.0,PIHPS
2021-01-26,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-26,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-26,telur_ayam_ras,25000.0,PIHPS
2021-01-27,bawang_merah,30000.0,PIHPS
2021-01-27,bawang_putih_honan,25000.0,PIHPS
2021-01-27,beras_medium,10000.0,PIHPS
2021-01-27,beras_premium,12000.0,PIHPS
2021-01-27,cabai_merah_besar,50000.0,PIHPS
2021-01-27,cabai_merah_keriting,60000.0,PIHPS
2021-01-27,cabai_rawit_merah,72500.0,PIHPS
2021-01-27,daging_ayam_ras,39000.0,PIHPS
2021-01-27,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-27,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-27,gula_pasir_curah,13500.0,PIHPS
2021-01-27,gula_pasir_kemasan,15500.0,PIHPS
2021-01-27,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-27,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-27,telur_ayam_ras,25000.0,PIHPS
2021-01-28,bawang_merah,30000.0,PIHPS
2021-01-28,bawang_putih_honan,25000.0,PIHPS
2021-01-28,beras_medium,10000.0,PIHPS
2021-01-28,beras_premium,12000.0,PIHPS
2021-01-28,cabai_merah_besar,50000.0,PIHPS
2021-01-28,cabai_merah_keriting,60000.0,PIHPS
2021-01-28,cabai_rawit_merah,72500.0,PIHPS
2021-01-28,daging_ayam_ras,39000.0,PIHPS
2021-01-28,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-28,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-28,gula_pasir_curah,13500.0,PIHPS
2021-01-28,gula_pasir_kemasan,15500.0,PIHPS
2021-01-28,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-28,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-28,telur_ayam_ras,22500.0,PIHPS
2021-01-29,bawang_merah,30000.0,PIHPS
2021-01-29,bawang_putih_honan,25000.0,PIHPS
2021-01-29,beras_medium,10000.0,PIHPS
2021-01-29,beras_premium,12000.0,PIHPS
2021-01-29,cabai_merah_besar,50000.0,PIHPS
2021-01-29,cabai_merah_keriting,60000.0,PIHPS
2021-01-29,cabai_rawit_merah,72500.0,PIHPS
2021-01-29,daging_ayam_ras,39000.0,PIHPS
2021-01-29,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-29,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-29,gula_pasir_curah,13500.0,PIHPS
2021-01-29,gula_pasir_kemasan,15500.0,PIHPS
2021-01-29,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-29,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-29,telur_ayam_ras,22500.0,PIHPS
2021-02-01,bawang_merah,30000.0,PIHPS
2021-02-01,bawang_putih_honan,25000.0,PIHPS
2021-02-01,beras_medium,10000.0,PIHPS
2021-02-01,beras_premium,12000.0,PIHPS
2021-02-01,cabai_merah_besar,50000.0,PIHPS
2021-02-01,cabai_merah_keriting,60000.0,PIHPS
2021-02-01,cabai_rawit_merah,70000.0,PIHPS
2021-02-01,daging_ayam_ras,41000.0,PIHPS
2021-02-01,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-01,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-01,gula_pasir_curah,13500.0,PIHPS
2021-02-01,gula_pasir_kemasan,15500.0,PIHPS
2021-02-01,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-01,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-01,telur_ayam_ras,22500.0,PIHPS
2021-02-02,bawang_merah,30000.0,PIHPS
2021-02-02,bawang_putih_honan,27500.0,PIHPS
2021-02-02,beras_medium,10000.0,PIHPS
2021-02-02,beras_premium,12000.0,PIHPS
2021-02-02,cabai_merah_besar,50000.0,PIHPS
2021-02-02,cabai_merah_keriting,60000.0,PIHPS
2021-02-02,cabai_rawit_merah,62500.0,PIHPS
2021-02-02,daging_ayam_ras,40000.0,PIHPS
2021-02-02,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-02,daging_sapi_paha_depan,120000.0,PIHPS
